Mes	Tienda	Importe(euros) Descuento	
AGOSTO	2	515.75	0
ENERO	5	549.47	0.03
AGOSTO	4	544.78	0.01
MARZO	6	522.36	0.02
DICIEMBRE	2	532.33	0.03
FEBRERO	2	524.87	0.02
ABRIL	7	528.42	0
MARZO	5	533.77	0.01
ENERO	3	550.85	0.03
SETIEMBRE	7	548.91	0.02
JUNIO	4	520.51	0.01
AGOSTO	7	522.66	0.01
ENERO	8	536.03	0.02
JULIO	5	542.67	0.01
NOVIEMBRE	5	530.22	0
NOVIEMBRE	5	528.86	0.03
JULIO	9	521.77	0.02
JUNIO	6	511.14	0.02
SETIEMBRE	3	550.45	0.03
ABRIL	3	515.8	0
DICIEMBRE	4	545.32	0.03
DICIEMBRE	3	542.95	0.02
DICIEMBRE	3	549.43	0
JUNIO	1	541.5	0.03
OCTUBRE	3	541.42	0.02
DICIEMBRE	6	515.87	0.02
AGOSTO	8	535.61	0.03
DICIEMBRE	4	506.85	0.01
ABRIL	2	501.52	0.01
SETIEMBRE	5	550.65	0.01
JULIO	1	523.47	0.01
MARZO	5	555.85	0.03
MAYO	2	514.68	0.01
FEBRERO	3	542.41	0.03
ABRIL	5	545.12	0.01
OCTUBRE	6	515.66	0
JUNIO	6	515.03	0.02
JULIO	4	521.4	0.02
OCTUBRE	8	510.58	0
ENERO	9	513.78	0
OCTUBRE	4	513.98	0.02
DICIEMBRE	9	530.76	0
DICIEMBRE	6	514.91	0.03
FEBRERO	7	506.89	0.02
OCTUBRE	9	519.61	0.02
MAYO	7	547.94	0
AGOSTO	9	509.51	0.03
ABRIL	6	500.59	0
MARZO	3	531.14	0
ENERO	1	514.39	0.03
JULIO	2	501.12	0.02
SETIEMBRE	8	523.21	0.01
DICIEMBRE	6	532.26	0.03
MAYO	7	501.16	0.01
NOVIEMBRE	3	503.46	0.01
FEBRERO	5	543.21	0.02
OCTUBRE	7	524.39	0.01
JUNIO	5	519.91	0
MARZO	7	502.29	0.01
DICIEMBRE	3	510.14	0.02
FEBRERO	9	501.23	0.02
AGOSTO	6	505.54	0.01
ABRIL	2	528.94	0.01
ENERO	6	523.07	0.03
FEBRERO	2	518.43	0.02
SETIEMBRE	7	542.53	0.03
JULIO	9	515.09	0
OCTUBRE	7	500.91	0
MARZO	5	534.25	0.02
MAYO	6	529.1	0.01
JULIO	3	500.68	0.03
AGOSTO	9	539.28	0.01
JUNIO	8	506.56	0
ENERO	7	541.87	0
DICIEMBRE	5	519.58	0.01
FEBRERO	5	540.21	0.03
MAYO	4	522.38	0.02
JULIO	8	503.11	0.01
DICIEMBRE	8	534.56	0
SETIEMBRE	6	539.19	0.01
SETIEMBRE	5	531.84	0.03
JUNIO	6	511.14	0.01
MARZO	3	544.81	0.02
MARZO	3	548.31	0
MARZO	2	524.59	0.02
MAYO	1	543.46	0
MAYO	1	516.53	0.02
DICIEMBRE	9	545	0
AGOSTO	5	547.61	0.02
DICIEMBRE	1	504.29	0.02
MARZO	1	522.55	0.03
SETIEMBRE	1	509.12	0.02
JUNIO	8	549.83	0.02
JUNIO	8	514.68	0.03
ENERO	5	550.73	0.03
MAYO	7	504.8	0.01
MAYO	7	529.13	0.01
SETIEMBRE	9	531.78	0.03
OCTUBRE	6	508.55	0.01
JUNIO	9	509.45	0.02
SETIEMBRE	3	507.84	0.03
ABRIL	6	522.03	0
MARZO	7	545.44	0.02
JULIO	2	500.53	0
ABRIL	1	512.38	0
DICIEMBRE	5	562.18	0.03
AGOSTO	1	547.66	0
ENERO	5	536.98	0
AGOSTO	8	511.37	0.03
OCTUBRE	4	532.52	0.03
AGOSTO	6	513.65	0
NOVIEMBRE	1	528.81	0.03
FEBRERO	4	505.3	0.01
ABRIL	3	544.16	0.02
DICIEMBRE	3	509.49	0.03
NOVIEMBRE	4	518.01	0
ENERO	1	502.12	0.01
ENERO	3	538.25	0.01
NOVIEMBRE	3	521.1	0.03
DICIEMBRE	9	536.5	0.02
JUNIO	6	517.02	0
MAYO	9	536.39	0.02
SETIEMBRE	5	521.39	0
MARZO	5	525.37	0.02
AGOSTO	7	513.62	0.02
MARZO	6	512.7	0.02
JUNIO	2	516.37	0.03
AGOSTO	1	507.62	0
MAYO	3	548.85	0
MAYO	6	502.1	0.02
MARZO	4	514.77	0.01
ABRIL	1	514.47	0.03
